Date,City,Avg_Temperature,Max_Temperature,Min_Temperature,AQI,Rainfall(mm)
10-Aug-25,Anantapur,24.46,27.6,22.02,67,15.44
10-Aug-25,Chittoor,25.11,26.18,24.61,67,36.43
10-Aug-25,Eluru,28.06,29.21,28.32,67,7.54
10-Aug-25,Guntur,27.93,27.99,26.06,72,9.03
10-Aug-25,Hindupur,22.64,24.61,21.09,63,11.93
10-Aug-25,Kadapa,25.72,29.24,22.78,67,8.48
10-Aug-25,Kakinada,28.54,29.73,24.61,65,6.98
10-Aug-25,Kurnool,25.57,28.58,23.1,65,12.62
10-Aug-25,Machilipatnam,28.82,29.06,28.42,65,5.66
10-Aug-25,Nellore,26.08,29,25.62,69,2.11
10-Aug-25,Ongole,28.13,29.18,26.06,67,5.15
10-Aug-25,Rajahmundry,27.51,31.47,28.47,65,10.11
10-Aug-25,Tirupati,24.54,26.18,23.05,63,14.51
10-Aug-25,Vijayawada,27.9,30.1,25.62,70,9.03
10-Aug-25,Visakhapatnam,28.51,29.87,27.89,78,6.01
11-Aug-25,Anantapur,23.75,27.22,22.29,63,18.22
11-Aug-25,Chittoor,24.95,25.66,24.01,64,4.39
11-Aug-25,Eluru,28.51,29.33,28.47,64,8.64
11-Aug-25,Guntur,27.87,29.84,26.4,69,10.46
11-Aug-25,Hindupur,22.28,24.61,20.4,63,16.76
11-Aug-25,Kadapa,24.55,28.39,22.28,66,9.75
11-Aug-25,Kakinada,28.67,29.84,24.99,67,7.69
11-Aug-25,Kurnool,24.92,28.58,23.04,62,14.07
11-Aug-25,Machilipatnam,29,29.24,28.22,64,7.98
11-Aug-25,Nellore,26.3,29.31,25.04,67,5.53
11-Aug-25,Ongole,27.87,29.39,25.81,64,10.82
11-Aug-25,Rajahmundry,27.97,31.76,27.55,63,6.82
11-Aug-25,Tirupati,24.7,26.18,22.53,63,1.73
11-Aug-25,Vijayawada,28.2,30.5,25.36,68,10.46
11-Aug-25,Visakhapatnam,28.31,29.91,25.87,75,6.55
12-Aug-25,Anantapur,24.31,28.33,22.78,59,4.25
12-Aug-25,Chittoor,23.86,27.11,22.42,65,4.4
12-Aug-25,Eluru,28.58,29.55,27.59,66,44.14
12-Aug-25,Guntur,27.3,29.58,25.45,70,24.21
12-Aug-25,Hindupur,22.76,25.47,21.57,61,2.45
12-Aug-25,Kadapa,24.87,28.29,22.6,65,3.24
12-Aug-25,Kakinada,29.58,29.46,24.82,75,10.22
12-Aug-25,Kurnool,24.6,29.03,23.29,60,3.25
12-Aug-25,Machilipatnam,28.66,28.82,27.55,68,42.98
12-Aug-25,Nellore,25.96,29.01,25.31,69,11.01
12-Aug-25,Ongole,27.19,29.33,25.1,67,11.76
12-Aug-25,Rajahmundry,28.53,32.44,27.65,70,41.69
12-Aug-25,Tirupati,23.87,26.99,22.16,64,6.05
12-Aug-25,Vijayawada,28.12,30.42,25.75,69,24.21
12-Aug-25,Visakhapatnam,29,29.6,26.31,75,8.68
13-Aug-25,Anantapur,23.73,28.7,22.78,55,6.12
13-Aug-25,Chittoor,25.34,27.59,24.69,59,0.62
13-Aug-25,Eluru,25.96,29.39,27.08,58,76.1
13-Aug-25,Guntur,24.83,29.5,23.2,67,57.05
13-Aug-25,Hindupur,23.21,29.22,21.74,59,3.92
13-Aug-25,Kadapa,24.41,30.51,23.4,63,5.32
13-Aug-25,Kakinada,28.55,31.04,23.68,63,16.36
13-Aug-25,Kurnool,23.88,29.72,22.63,55,10.98
13-Aug-25,Machilipatnam,26.63,29.39,26.98,60,73.9
13-Aug-25,Nellore,25.24,29.46,24.25,67,19.8
13-Aug-25,Ongole,25.15,29.39,24.15,60,25.04
13-Aug-25,Rajahmundry,26.97,29.39,26.87,57,41.24
13-Aug-25,Tirupati,24.79,29.22,23.74,58,3.75
13-Aug-25,Vijayawada,25.4,29.23,23.88,66,57.05
13-Aug-25,Visakhapatnam,28.53,29.19,25.3,67,14.61
14-Aug-25,Anantapur,22.5,29.36,21.41,52,6.12
14-Aug-25,Chittoor,26.27,29.01,24.01,59,2.36
14-Aug-25,Eluru,25.24,29.23,24.01,57,11.48
14-Aug-25,Guntur,25.07,29.18,24.01,64,9.33
14-Aug-25,Hindupur,21.98,29.07,21.09,58,5.58
14-Aug-25,Kadapa,23.02,29.22,22.78,62,2.87
14-Aug-25,Kakinada,26.89,29.29,24.61,61,11.47
14-Aug-25,Kurnool,23.66,29.22,22.28,52,8.66
14-Aug-25,Machilipatnam,26.58,29.24,24.42,59,21.3
14-Aug-25,Nellore,26.68,29.29,25.45,63,3.99
14-Aug-25,Ongole,25.7,29.31,24.87,59,14.9
14-Aug-25,Rajahmundry,24.82,29.36,23.43,54,3.95
14-Aug-25,Tirupati,26.24,29.31,24.85,58,2.29
14-Aug-25,Vijayawada,25,29.25,24.53,63,9.33
14-Aug-25,Visakhapatnam,27.42,29.23,25.87,68,14.59
15-Aug-25,Anantapur,24.55,29.39,22.78,53,3.51
15-Aug-25,Chittoor,26.1,29.3,24.3,57,4.81
15-Aug-25,Eluru,26.88,29.25,24.46,58,6.55
15-Aug-25,Guntur,27.23,29.29,25.16,63,9.17
15-Aug-25,Hindupur,23.51,29.18,21.41,57,2.16
15-Aug-25,Kadapa,25.45,29.37,23.31,61,8.52
15-Aug-25,Kakinada,27.67,29.34,23.62,68,10.87
15-Aug-25,Kurnool,25.2,29.23,23.13,55,19.64
15-Aug-25,Machilipatnam,28.17,29.31,25.94,59,7.3
15-Aug-25,Nellore,28.06,29.28,26.63,63,8.27
15-Aug-25,Ongole,27.67,29.27,25.27,59,16.41
15-Aug-25,Rajahmundry,25.99,29.27,25.15,58,11.28
15-Aug-25,Tirupati,26.35,29.26,25.03,57,5.35
15-Aug-25,Vijayawada,26.82,29.23,24.7,61,9.17
15-Aug-25,Visakhapatnam,27.92,29.2,25.3,63,4.23
16-Aug-25,Anantapur,24.39,29.18,22.78,56,3.68
16-Aug-25,Chittoor,25.95,29.16,24.74,57,8.25
16-Aug-25,Eluru,26.42,29.06,24.57,57,8.55
16-Aug-25,Guntur,25.75,28.9,25.03,62,4.97
16-Aug-25,Hindupur,23.38,28.78,22.3,55,6.93
16-Aug-25,Kadapa,25.18,28.74,22.22,60,8.27
16-Aug-25,Kakinada,27.63,28.7,23.89,62,17.67
16-Aug-25,Kurnool,24.28,28.66,22.77,57,7.59
16-Aug-25,Machilipatnam,27.29,28.62,25.74,59,7.72
16-Aug-25,Nellore,26.74,28.6,24.42,62,10.91
16-Aug-25,Ongole,26.15,28.57,24.72,58,9.03
16-Aug-25,Rajahmundry,25.78,28.45,24.12,57,11.34
16-Aug-25,Tirupati,25.93,28.36,22.99,57,6.52
16-Aug-25,Vijayawada,25.99,28.33,23.58,61,4.97
16-Aug-25,Visakhapatnam,28.1,28.3,24.51,64,10.14
17-Aug-25,Anantapur,24.3,28.24,21.83,52,4.73
17-Aug-25,Chittoor,25.8,28.19,24.33,55,6.09
17-Aug-25,Eluru,26.3,28.09,25.43,57,97.58
17-Aug-25,Guntur,25.68,28.04,24.07,60,36.74
17-Aug-25,Hindupur,23.36,27.99,21.51,55,8.34
17-Aug-25,Kadapa,25.1,27.94,22.9,59,7.04
17-Aug-25,Kakinada,27.55,27.93,24.52,59,140.66
17-Aug-25,Kurnool,24.23,27.9,22.51,56,22.23
17-Aug-25,Machilipatnam,27.19,27.85,25.09,58,63.97
17-Aug-25,Nellore,26.71,27.83,25.43,60,13.38
17-Aug-25,Ongole,26.15,27.8,24.56,58,29.4
17-Aug-25,Rajahmundry,25.75,27.75,24.22,55,138.05
17-Aug-25,Tirupati,25.85,27.7,23.46,53,3.29
17-Aug-25,Vijayawada,25.97,27.67,22.75,60,36.74
17-Aug-25,Visakhapatnam,28.05,27.66,23.78,62,50.72
18-Aug-25,Anantapur,24.22,27.64,21.62,53,10.1
18-Aug-25,Chittoor,25.64,27.62,22.75,55,9.57
18-Aug-25,Eluru,26.23,27.58,22.68,55,71.51
18-Aug-25,Guntur,25.61,27.56,22.99,60,44.36
18-Aug-25,Hindupur,23.35,27.54,21.68,56,15.52
18-Aug-25,Kadapa,25.02,27.5,21.37,58,12.8
18-Aug-25,Kakinada,27.48,27.46,22.72,54,109.87
18-Aug-25,Kurnool,24.17,27.44,22.5,54,32.2
18-Aug-25,Machilipatnam,27.09,27.43,24.47,56,37.67
18-Aug-25,Nellore,26.68,27.4,25.14,62,8.7
18-Aug-25,Ongole,26.15,27.37,24.09,55,18.44
18-Aug-25,Rajahmundry,25.73,27.35,23.91,49,87.5
18-Aug-25,Tirupati,25.77,27.32,23.43,52,6.57
18-Aug-25,Vijayawada,25.96,27.3,23.75,59,44.36
18-Aug-25,Visakhapatnam,28,27.28,23.72,59,74.23
